Year,State Code,State Name,District Code,District Name,Number of Blocks,Number of Clusters,Number of Villages,Total Number of Schools,Total Poulation,0-6 Population,Percentage Urban Population,Sexratio,Sex Ratio 0-6,Decadal Growth Rate,Percentage SC Population,Percentage ST Population,Overall Literacy,Female Literacy
Year,Statecd,statename,distcd,distname,blocks,clusters,villages,totschools,totpopulation,p_06_pop,p_urb_pop,sexratio,sexratio_06,growthrate,p_sc_pop,p_st_pop,overall_lit,female_lit
2012-13,35,ANDAMAN & NICOBAR ISLANDS                         ,3501,ANDAMANS                                          ,3,16,83,212,237586,23616.05,55.89,874,980,13.97,0,1.72,High,84.52
2012-13,35,ANDAMAN & NICOBAR ISLANDS                         ,3503,MIDDLE AND NORTH ANDAMANS                         ,3,13,76,181,105539,11651.51,2.6,925,975,-0.07,0,0.72,High,79.39
2012-13,35,ANDAMAN & NICOBAR ISLANDS                         ,3502,NICOBARS                                          ,3,8,42,58,36819,4226.82,0,778,961,-12.48,0,64.28,High,70.7
2012-13,28,ANDHRA PRADESH                                    ,2801,ADILABAD                                          ,52,356,1576,4983,2737738,295675.7,27.68,1003,942,10.04,17.82,18.09,Low,51.99
2012-13,28,ANDHRA PRADESH                                    ,2822,ANANTAPUR                                         ,63,564,929,5188,4083315,427114.75,28.09,977,927,12.16,14.29,3.78,Low,54.31
2012-13,28,ANDHRA PRADESH                                    ,2823,CHITTOOR                                          ,66,571,1404,6590,4170468,423302.5,29.47,1002,931,11.33,18.83,3.81,Medium,63.65
2012-13,28,ANDHRA PRADESH                                    ,2820,CUDDAPAH                                          ,51,398,863,4634,2884524,313547.76,34.1,984,919,10.87,16.16,2.63,Medium,57.26
2012-13,28,ANDHRA PRADESH                                    ,2814,EAST GODAVARI                                     ,60,414,1278,5892,5151549,492488.08,25.52,1005,969,5.1,18.34,4.14,Medium,67.82
2012-13,28,ANDHRA PRADESH                                    ,2817,GUNTUR                                            ,57,375,722,4935,4889230,466432.54,33.89,1003,948,9.5,19.59,5.06,Medium,60.64
2012-13,28,ANDHRA PRADESH                                    ,2805,HYDERABAD                                         ,16,92,60,3265,4010238,419470.89,100,943,938,4.71,6.29,1.24,High,78.42
2012-13,28,ANDHRA PRADESH                                    ,2803,KARIMNAGAR                                        ,57,470,1067,4936,3811738,322854.21,26.08,1009,937,9.16,18.8,2.83,Low,55.18
2012-13,28,ANDHRA PRADESH                                    ,2810,KHAMMAM                                           ,46,476,1074,4200,2798214,267509.26,23.43,1010,958,8.5,16.55,27.37,Medium,57.85
2012-13,28,ANDHRA PRADESH                                    ,2816,KRISHNA                                           ,50,413,950,4531,4529009,406705.01,41.01,997,953,8.15,19.28,2.93,Medium,69.62
2012-13,28,ANDHRA PRADESH                                    ,2821,KURNOOL                                           ,54,323,907,4068,4046601,477094.26,28.26,984,937,14.65,18.21,2.04,Low,50.81
2012-13,28,ANDHRA PRADESH                                    ,2807,MAHBUBNAGAR                                       ,64,680,1464,5180,4042191,502040.12,15,975,932,15.03,17.49,8.99,Low,45.65
2012-13,28,ANDHRA PRADESH                                    ,2804,MEDAK                                             ,46,478,1220,3883,3031877,348665.86,24.02,989,954,13.55,17.74,5.57,Low,52.49
2012-13,28,ANDHRA PRADESH                                    ,2808,NALGONDA                                          ,59,380,1125,4762,3483648,354983.73,19,982,921,7.26,18.27,11.3,Medium,55.05
2012-13,28,ANDHRA PRADESH                                    ,2819,NELLORE                                           ,46,344,1075,4380,2966082,287413.35,29.07,986,945,11.15,22.49,9.65,Medium,62.3
2012-13,28,ANDHRA PRADESH                                    ,2802,NIZAMABAD                                         ,36,361,852,3270,2552073,268222.87,23.03,1038,946,8.8,14.54,7.56,Low,52.33
2012-13,28,ANDHRA PRADESH                                    ,2818,PRAKASAM                                          ,56,366,985,4667,3392764,360311.54,19.52,981,932,10.9,23.19,4.45,Low,53.4
2012-13,28,ANDHRA PRADESH                                    ,2806,RANGAREDDI                                        ,37,245,894,5131,5296396,595314.91,70.32,955,947,48.15,12.31,4.13,High,71.82
2012-13,28,ANDHRA PRADESH                                    ,2811,SRIKAKULAM                                        ,38,422,1641,4244,2699471,265358,16.16,1014,953,6.38,9.46,6.15,Low,52.56
2012-13,28,ANDHRA PRADESH                                    ,2813,VISAKHAPATNAM                                     ,43,349,2542,5269,4288113,429240.11,47.51,1003,961,11.89,7.68,14.42,Medium,60
2012-13,28,ANDHRA PRADESH                                    ,2812,VIZIANAGARAM                                      ,34,249,1409,3506,2342868,231006.78,20.93,1016,955,4.16,10.57,10.05,Low,50.16
2012-13,28,ANDHRA PRADESH                                    ,2809,WARANGAL                                          ,51,447,1003,5056,3522644,324435.51,28.34,994,912,8.52,17.54,15.11,Medium,56.45
2012-13,28,ANDHRA PRADESH                                    ,2815,WEST GODAVARI                                     ,46,329,822,4537,3934782,363573.86,20.55,1004,970,3.45,20.62,2.77,Medium,71.05
2012-13,12,ARUNACHAL PRADESH                                 ,1216,Anjaw                                             ,4,7,100,97,21089,3389,8.02,805,954,13.77,0,77.72,Low,46.39
