,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incentive Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Schools - Government,,,,,,,,Total Schools - Private,,,,,,,,Rural Schools -Government,,,,,,,,Rural Schools -Private,,,,,,,,Number of Single Classroom Schools,,,,,,,,Number of Single Teacher Schools,,,,,,,,Number of Schools with pre-primary sections,,,,Number of Schools with girls' toilets,,,,,,,,Number of Schools with drinking water facility,,,,,,,,Enrolment in Single-teacher Schools,,,,,,,,No female teacher schools (tch>=2),,,,,,,,Number of Schools with <=50 Students,,,,,,,,Number of Government Schools Opened since 2003,,,,,,,Number of Government Schools having Kitchen-shed,,,,,,,Total Classrooms,,,,,,,,Classrooms in Good Condition,,,,,,,,Classrooms need Major Repairs,,,,,,,,Classrooms needs Minor Repair,,,,,,,,Other Rooms,,,,,,,,Percentage of Schools received School Development Grant (Previous Year),,,,,,,Percentage of Schools received TLM Grant (Previous Year),,,,,,,Text Book,,,,Uniform,,,,Attendance,,,,Stationary,,,,Transport ,,,,Residential ,,,,Unrecognised & Madarsa Schools ,,,,,,,,Percentage of Schools with Boys Toilet ,,,,,,,Number of Schools with Electricity ,,,,,,,Number of Schools with Computer ,,,,,,,Number of Schools with MDM ,,,,,,,Number of Schools with SMC ,,,,,,,Number of Schools approachable by all weather  roads,,,,,,,Number of Schools with SCR above,,Number of Schools with PTR above,,Average Instructional Days ,
State Code,State Name,District Code,District Name,Academic Year,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Single Classroom Schools,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Single Teacher Schools,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Primary with Upper primary and secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Schools with  girls toilets,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total number of Schools with drinking water facility,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Enrolemt in Single-teacher Schools,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No female teacher schools (tch>=2),Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Schools with <=50 Students,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No response ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,30 at Primary Level ,35 at Upper Primary Level ,30 at Primary Level ,35 at Upper Primary Level ,Primary ,Upper  Primary 
Statecd,State Name ,distcd,distname,ac_year,schgovt1,schgovt2,schgovt3,schgovt4,schgovt5,schgovt6,schgovt7,schgovt9,schpvt1,schpvt2,schpvt3,schpvt4,schpvt5,schpvt6,schpvt7,schpvt9,Sch R Govt1,Sch R Govt2,Sch R Govt3,Sch R Govt4,Sch R Govt5,Sch R Govt6,Sch R Govt7,Sch R Govt9,Sch R Pvt1,Sch R Pvt2,Sch R Pvt3,Sch R Pvt4,Sch R Pvt5,Sch R Pvt6,Sch R Pvt7,Sch R Pvt9,Cls1 School1,Cls1 School2,Cls1 School3,Cls1 School4,Cls1 School5,Cls1 School6,Cls1 School7,Cls1 School,Tch1 School1,Tch1 School2,Tch1 School3,Tch1 School4,Tch1 School5,Tch1 School6,Tch1 School7,Tch1 School,Pp Sch1,Pp Sch2,Pp Sch3,Pp Sch6,Gtoilet Sch1,Gtoilet Sch2,Gtoilet Sch3,Gtoilet Sch4,Gtoilet Sch5,Gtoilet Sch6,Gtoilet Sch7,Gtoilet Sch,Water Sch1,Water Sch2,Water Sch3,Water Sch4,Water Sch5,Water Sch6,Water Sch7,Water Sch,Enr Stch Sch1,Enr Stch Sch2,Enr Stch Sch3,Enr Stch Sch4,Enr Stch Sch5,Enr Stch Sch6,Enr Stch Sch7,Enr Stch Sch,No Fem Sch1,No Fem Sch2,No Fem Sch3,No Fem Sch4,No Fem Sch5,No Fem Sch6,No Fem Sch7,No Fem Sch,Sch 50enr1,Sch 50enr2,Sch 50enr3,Sch 50enr4,Sch 50enr5,Sch 50enr6,Sch 50enr7,Sch 50enr,Sch Since 2003 1,Sch Since 2003 2,Sch Since 2003 3,Sch Since 2003 4,Sch Since 2003 5,Sch Since 2003 6,Sch Since 2003 7,Kitshed1,Kitshed2,Kitshed3,Kitshed4,Kitshed5,Kitshed6,Kitshed7,Tot Cls1,Tot Cls2,Tot Cls3,Tot Cls4,Tot Cls5,Tot Cls6,Tot Cls7,Tot Cls,Cls Good1,Cls Good2,Cls Good3,Cls Good4,Cls Good5,Cls Good6,Cls Good7,Cls Good,Cls Major1,Cls Major2,Cls Major3,Cls Major4,Cls Major5,Cls Major6,Cls Major7,Cls Major,Cls Minor1,Cls Minor2,Cls Minor3,Cls Minor4,Cls Minor5,Cls Minor6,Cls Minor7,Cls Minor,Cls Other1,Cls Other2,Cls Other3,Cls Other4,Cls Other5,Cls Other6,Cls Other7,Cls Other,Sdg 1,Sdg 2,Sdg 3,Sdg 4,Sdg 5,Sdg 6,Sdg 7,Tlm 1,Tlm 2,Tlm 3,Tlm 4,Tlm 5,Tlm 6,Tlm 7,Book P B,Book P G,Book Up B,Book Up G,Uniform P B,Uniform P G,Uniform Up B,Uniform Up G,Attend P B,Attend P G,Attend Up B,Attend Up G,Station P B,Station P G,Station Up B,Station Up G,Transport P B,Transport P G,Transport Up B,Transport Up G,Residential P B,Residential P G,Residential Up B,Residential Up G,Sch Un1,Sch Un2,Sch Un3,Sch Un4,Sch Un5,Sch Un6,Sch Un7,Sch Un9,Btoilet Sch1,Btoilet Sch2,Btoilet Sch3,Btoilet Sch4,Btoilet Sch5,Btoilet Sch6,Btoilet Sch7,Electric Sch1,Electric Sch2,Electric Sch3,Electric Sch4,Electric Sch5,Electric Sch6,Electric Sch7,Computer Sch1,Computer Sch2,Computer Sch3,Computer Sch4,Computer Sch5,Computer Sch6,Computer Sch7,Mdm 1,Mdm 2,Mdm 3,Mdm 4,Mdm 5,Mdm 6,Mdm 7,Smc 1,Smc 2,Smc 3,Smc 4,Smc 5,Smc 6,Smc 7,App By Road 1,App By Road 2,App By Road 3,App By Road 4,App By Road 5,App By Road 6,App By Road 7,Scr 30 P,Scr 35 Up,Ptr 30 P,Ptr 35 Up,Avg Instn Days P,Avg Instn Days Up
35,ANDAMAN & NICOBAR ISLANDS                         ,3501,ANDAMANS                                          ,2012-13,61,26,19,0,5,14,0,0,66,9,8,0,0,4,0,0,50,23,10,0,3,9,0,0,37,7,3,0,0,3,0,0,6,2,0,0,0,0,0,8,4,0,0,0,0,0,0,4,0,0,0,0,93.7,100,100,0,100,100,0,96.23,127,35,27,0,5,18,0,212,2,0,0,0,0,0,0,2,8,2,0,0,0,0,0,10,99,5,1,0,2,2,0,109,4,0,0,0,0,1,0,3,8,2,0,0,2,0,550,306,431,0,28,205,0,0,468,231,371,0,29,170,0,0,14,13,16,0,0,16,0,0,74,75,32,0,1,20,0,0,143,135,259,0,38,130,0,0,88.52,100,76.19,0,80,92.86,0,86.89,96.15,85.71,0,80,92.86,0,5475,5438,4355,4142,1758,1926,3726,3615,28,19,5,12,4803,4832,1377,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8,94.29,100,0,80,100,0,124,34,27,0,5,18,0,56,32,26,0,5,17,0,55,26,16,0,5,14,0,57,26,17,0,5,13,0,124,33,26,0,5,18,0,30,18,1,0,215,218
35,ANDAMAN & NICOBAR ISLANDS                         ,3503,MIDDLE AND NORTH ANDAMANS                         ,2012-13,104,29,5,3,8,10,0,0,18,3,0,0,0,1,0,0,104,29,5,3,8,10,0,0,18,3,0,0,0,1,0,0,19,0,0,0,0,0,0,19,43,0,0,0,0,0,0,43,0,0,0,0,86.09,87.5,100,100,100,100,0,88.51,115,31,5,3,8,11,0,173,665,0,0,0,0,0,0,665,21,3,0,0,0,0,0,24,96,3,0,0,0,0,0,99,11,3,0,0,1,0,0,30,17,4,2,3,6,0,413,249,64,36,57,92,0,0,230,171,50,31,39,41,0,0,77,46,6,0,9,3,0,0,96,46,31,5,24,41,0,0,158,74,43,25,47,52,0,0,81.73,86.21,100,100,75,100,0,79.81,89.66,100,100,75,100,0,4059,3909,2858,2678,2024,2002,2533,2387,15,9,0,3,3712,3513,1097,1149,0,0,27,16,0,0,62,60,0,0,0,0,0,0,0,0,54.78,84.38,100,100,100,81.82,0,81,29,5,3,8,11,0,28,22,5,3,7,11,0,93,29,5,3,7,10,0,91,28,5,3,8,10,0,90,29,5,3,8,10,0,6,3,5,0,215,215
35,ANDAMAN & NICOBAR ISLANDS                         ,3502,NICOBARS                                          ,2012-13,29,11,3,0,6,7,0,0,2,0,0,0,0,0,0,0,29,11,3,0,6,7,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,4,0,0,0,0,0,0,4,0,0,0,0,87.1,100,100,0,100,85.71,0,91.38,31,11,3,0,6,7,0,58,34,0,0,0,0,0,0,34,9,0,0,0,0,0,0,9,26,4,0,0,0,1,0,31,11,1,0,0,2,0,0,3,0,1,0,0,1,0,107,74,15,0,26,55,0,0,74,54,13,0,32,36,0,0,16,7,8,0,2,18,0,0,24,6,2,0,7,5,0,0,60,25,2,0,67,59,0,0,72.41,90.91,100,0,66.67,100,0,75.86,90.91,100,0,66.67,100,0,1275,1173,867,827,917,851,696,684,843,799,501,460,1047,944,751,733,0,0,0,0,0,0,44,60,0,0,0,0,0,0,0,0,58.06,81.82,100,0,83.33,100,0,21,9,3,0,6,7,0,3,7,3,0,6,7,0,25,10,3,0,5,7,0,27,11,3,0,5,7,0,25,10,2,0,4,6,0,3,3,0,0,210,212
28,ANDHRA PRADESH                                    ,2801,ADILABAD                                          ,2012-13,3074,440,4,0,1,97,430,0,275,288,0,0,0,27,263,0,2937,422,3,0,0,87,382,0,150,193,0,0,0,16,124,0,1185,9,0,0,0,4,31,1229,1218,46,0,0,0,1,2,1267,0,0,0,0,46.41,75.58,100,0,100,81.52,80.72,56.28,2688,691,3,0,1,123,657,4163,35652,4979,0,0,0,329,313,41273,717,138,1,0,0,34,99,989,2338,61,0,0,0,0,82,2481,304,10,0,0,0,12,161,493,170,0,0,0,7,42,8686,4669,44,0,6,853,3534,0,6736,3907,26,0,6,709,3052,0,656,254,0,0,0,21,203,0,1285,450,18,0,0,111,323,0,204,126,5,0,12,192,616,0,92.23,97.52,0,0,0,78.35,83.18,78.7,91.87,0,0,0,56.7,71.52,92643,98905,38187,42708,4027,4390,35505,39419,518,148,1196,356,88661,93684,4866,7383,2787,4237,5436,8332,1287,952,2723,2834,64,18,0,0,0,1,1,0,11.45,24.36,100,0,100,40,22.26,2430,656,4,0,1,124,670,213,241,4,0,1,74,462,3021,401,0,0,0,4,382,2862,416,0,0,1,73,382,3139,712,4,0,1,125,689,1113,457,1223,244,221,221
28,ANDHRA PRADESH                                    ,2822,ANANTAPUR                                         ,2012-13,2864,654,23,13,495,1,50,0,356,327,5,0,269,2,54,0,2648,609,18,13,433,1,46,0,185,199,3,0,128,1,19,0,819,11,0,0,6,0,7,843,1013,20,1,0,4,0,2,1040,0,0,0,0,51.45,69.78,95,23.08,82.7,50,35.24,59.41,2570,898,29,8,713,3,93,4314,27684,1777,310,0,407,0,212,30390,640,162,1,2,46,0,6,857,2003,146,1,3,59,0,12,2224,110,20,4,8,135,0,36,881,298,4,4,101,0,15,9833,6022,295,32,5235,15,417,0,6932,4798,267,23,4422,15,393,0,1028,364,0,1,295,0,2,0,1856,792,35,8,538,0,22,0,184,133,12,0,941,4,96,0,96.69,98.93,21.74,30.77,87.48,0,31.37,91.68,98.02,26.09,38.46,85.91,0,33.33,99226,106144,51412,57824,5214,5243,46874,51690,622,1239,356,970,94374,100987,2308,3972,489,569,2071,4169,265,351,773,1938,37,29,2,0,6,0,1,0,17.01,23.69,47.62,15.38,28.76,33.33,29.7,2830,936,29,6,736,2,67,279,282,24,3,569,0,26,2818,651,3,11,448,0,47,2795,646,10,9,471,0,48,3176,995,30,10,763,3,93,883,407,1227,271,216,220
28,ANDHRA PRADESH                                    ,2823,CHITTOOR                                          ,2012-13,4234,528,21,0,582,0,2,0,440,269,8,0,379,2,36,0,4004,481,14,0,528,0,1,0,214,150,5,0,174,0,16,0,1703,7,0,0,9,0,3,1722,1298,16,0,0,5,0,0,1319,0,0,0,0,82.56,91.57,100,0,89.75,100,87.5,84.84,4517,788,30,0,970,2,40,6347,30017,865,0,0,422,0,0,31304,899,84,2,0,51,0,1,1037,3529,160,0,0,132,0,9,3830,155,7,4,0,155,0,1,2259,378,5,0,72,0,1,12587,4882,429,0,6886,16,249,0,10140,4282,407,0,6144,16,247,0,1007,242,17,0,321,0,0,0,1385,359,5,0,468,0,2,0,582,184,89,0,1235,1,25,0,97.1,98.88,28.57,0,95.22,0,0,91.48,97.75,19.05,0,93.57,0,0,91880,99271,53385,57144,3128,3519,47912,51873,1126,1300,1257,1887,88536,95676,2039,2832,522,354,1343,1765,330,398,614,1689,54,11,1,0,21,0,2,0,20.18,28.5,64.71,0,27.06,100,80,4289,769,30,0,943,2,36,398,346,28,0,718,2,25,4196,525,3,0,567,0,2,3939,498,12,0,553,0,0,4522,793,30,0,972,2,21,799,291,848,125,220,222
